1,9,文学经典赏析,讲座,2026-02-11,2026-02-15,邀请专家进行的文学经典赏析主题讲座，欢迎感兴趣的观众参加。,408,0,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
2,3,文化沙龙,其他活动,2025-02-14,2025-02-15,丰富多彩的文化沙龙，促进文化交流与分享。,291,1,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
3,7,世界文化遗产展,临时展览,2025-03-07,2025-08-17,特别策划的临时展览，展期有限，展示世界文化遗产展的精彩内容。,478,0,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
4,1,艺术鉴赏与收藏,讲座,2025-06-01,2025-06-08,邀请专家进行的艺术鉴赏与收藏主题讲座，欢迎感兴趣的观众参加。,44,1,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
5,5,科学实验室,工作坊,2024-12-02,2024-12-03,互动性强的科学实验室体验活动，适合各年龄段参与者。,298,1,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
6,3,创意写作工作坊,工作坊,2025-11-16,2025-11-17,互动性强的创意写作工作坊体验活动，适合各年龄段参与者。,500,0,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
7,3,环境保护与可持续发展,讲座,2025-07-05,2025-07-12,邀请专家进行的环境保护与可持续发展主题讲座，欢迎感兴趣的观众参加。,436,1,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
8,4,当代艺术特展,临时展览,2025-07-21,2025-11-20,特别策划的临时展览，展期有限，展示当代艺术特展的精彩内容。,433,1,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
9,1,创意写作工作坊,工作坊,2024-10-27,2024-10-30,互动性强的创意写作工作坊体验活动，适合各年龄段参与者。,356,0,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
10,8,武汉自然生态展,常设展览,2026-01-27,2026-04-15,本展览长期陈列，展示武汉自然生态展的丰富内容，欢迎公众前来参观。,,0,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
11,11,读书会,其他活动,2025-04-15,2025-04-21,丰富多彩的读书会，促进文化交流与分享。,462,0,计划中,,2025-05-22 16:58:49,2025-05-22 16:58:49
