1,36,127,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
2,40,19,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
3,3,280,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
4,28,687,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
5,41,22,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
6,38,486,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
7,21,250,2025-05-22 16:58:50,已取消,,,2025-05-22 16:58:50
8,47,134,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
9,21,268,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
10,15,185,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
11,50,699,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
12,40,676,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
13,44,400,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
14,1,793,2025-05-22 16:58:50,待审批,,,2025-05-22 16:58:50
15,43,239,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
16,9,857,2025-05-22 16:58:50,已取消,,,2025-05-22 16:58:50
17,33,427,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
18,17,344,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
19,26,623,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
20,48,664,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
21,1,694,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
22,33,650,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
23,29,64,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
24,1,132,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
25,1,552,2025-05-22 16:58:50,已取消,,,2025-05-22 16:58:50
26,32,861,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
27,9,220,2025-05-22 16:58:50,已取消,,,2025-05-22 16:58:50
28,46,677,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
29,5,827,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
30,16,819,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
31,26,262,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
32,40,587,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
33,41,143,2025-05-22 16:58:50,待审批,,,2025-05-22 16:58:50
34,28,976,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
35,41,610,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
36,8,109,2025-05-22 16:58:50,待审批,,,2025-05-22 16:58:50
37,21,927,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
38,21,185,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
39,47,415,2025-05-22 16:58:50,已取消,,,2025-05-22 16:58:50
40,26,950,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
41,27,971,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
42,3,366,2025-05-22 16:58:50,已取消,,,2025-05-22 16:58:50
43,2,243,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
44,6,55,2025-05-22 16:58:50,待审批,,,2025-05-22 16:58:50
45,4,729,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
46,40,176,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
47,40,643,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
48,22,639,2025-05-22 16:58:50,待审批,,,2025-05-22 16:58:50
49,33,249,2025-05-22 16:58:50,待审批,,,2025-05-22 16:58:50
50,15,425,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
51,48,205,2025-05-22 16:58:50,已取消,,,2025-05-22 16:58:50
52,27,73,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
53,32,841,2025-05-22 16:58:50,待审批,,,2025-05-22 16:58:50
54,2,421,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
55,16,817,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
56,27,230,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
57,48,368,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
58,4,470,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
59,37,297,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
60,32,938,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
61,23,540,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
62,44,576,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
63,4,830,2025-05-22 16:58:50,已批准,,,2025-05-22 16:58:50
64,21,313,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
65,43,191,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
66,44,2,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
67,32,111,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
68,26,962,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
69,32,985,2025-05-22 16:58:50,已参加,,,2025-05-22 16:58:50
